1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319790.021000 /muse/acc fff  -312.5005 933.5952 105.46892
1521319790.061000 /muse/eeg ffff  837.295 835.65 837.295 819.2002
1521319790.061000 /muse/eeg/quantization iiii  1 1 1 1
1521319790.061000 /muse/eeg ffff  822.4902 834.005 843.87494 822.4902
1521319790.061000 /muse/eeg ffff  852.0998 838.94 842.2299 820.8452
1521319790.061000 /muse/elements/alpha_relative ffff  0.24553448 0.24456088 0.10255065 0.29657406
1521319790.062000 /muse/elements/beta_relative ffff  0.23865385 0.30015272 0.3366788 0.14804266
1521319790.062000 /muse/elements/delta_relative ffff  0.092626676 0.15845977 0.26623294 0.29011303
1521319790.062000 /muse/elements/gamma_relative ffff  0.23592256 0.17883873 0.16884042 0.053860012
1521319790.062000 /muse/elements/theta_relative ffff  0.18726243 0.11798789 0.12569717 0.21141024
1521319790.062000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319790.062000 /muse/elements/is_good iiii  1 1 1 1
1521319790.062000 /muse/elements/blink i  0
1521319790.062000 /muse/elements/jaw_clench i  0
1521319790.062000 /muse/elements/touching_forehead i  1
1521319790.062000 /muse/elements/experimental/concentration f  0.0
1521319790.062000 /muse/elements/experimental/mellow f  0.0
1521319790.063000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -4.8313284 0.17319517 5.810628 10.424567 9.938996 4.7005816 5.1559567 6.233466 9.175555 5.1431475 4.1522756 4.495795 5.2328186 0.51559645 1.4816629 3.1821277 3.072027 -2.4804995 -0.23704281 4.7059436 7.3421755 3.5632937 4.688323 9.083869 7.480777 3.014412 1.4842108 -2.741655 -2.8187115 -4.8776436 -4.5777674 0.15484378 1.6011184 1.5030928 -1.0915163 -0.4853298 -5.520377 -0.09113573 3.0434284 1.2012609 2.20218 3.7548256 -0.7074452 -2.4823778 -4.357389 -5.369152 -0.685043 1.193823 0.48975986 -1.7876941 -3.7295146 -2.7671442 -2.6067183 0.005973297 6.3239994 5.091385 -3.3092885 -5.4325542 -2.049276 -6.7574234 -6.8452077 -0.63759035 1.4612298 -6.3582196 -8.131606 -7.162809 -3.5895443 -11.053043 -11.416432 -16.112177 -11.739961 -14.631673 -19.691027 -9.117114 -6.6017804 -10.093774 -8.1695175 -6.493878 -7.3212695 -7.075923 -2.1035292 -1.020817 -3.53967 -10.691623 -6.2481728 1.4315572 1.8781754 -1.660553 -2.0887198 -1.7046278 -1.045244 -5.264739 -2.5165339 -4.4405923 -8.664122 -5.6377172 -6.2246075 -4.390917 -2.6152024 -5.1723113 -6.0313053 2.7152038 2.1482868 -3.4627442 -12.047454 -9.781689 -13.6761055 -5.2924237 0.06655628 -4.7713847 -6.234117 -7.707049 -8.965129 -10.394721 -12.513728 -0.15626708 14.1066475 12.8073435 -5.1206865 -10.289564 -8.392154 -12.919183 -14.216349 -8.007737 -5.386976 -9.042015 -7.390209 -10.412065 -18.854744
